"created_at","id","full_text","retweet_count","favorite_count","images","name","screen_name","followers_count","verified","tweet_url"
2022-02-01 20:19:21,"1488607925388124161","Here is my submission for this week's #TidyTuesday, showing how the 25 most popular dogs of 2020 rank on different metrics. Also added a little drawing for each dog 🦮🐩🐕￼

Code: https://t.co/9FwxxE2K8k

Full Image: https://t.co/NoqQVk4kJr

#rstats #dataviz #r4ds #tidyverse https://t.co/GsXRamr1sh",56,467,"list(id = 1488607674694615040, id_str = ""1488607674694615046"", indices = list(list(start = 273, end = 296)), media_url = ""http://pbs.twimg.com/media/FKiYywwXwAYPmhU.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKiYywwXwAYPmhU.jpg"", url = ""https://t.co/GsXRamr1sh"", display_url = ""pic.twitter.com/GsXRamr1sh"", expanded_url = ""https://twitter.com/BlakeRobMills/status/1488607925388124161/photo/1"", type = ""photo"", sizes = list(list(w = c(1483, 492, 150, 869), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Blake Robert Mills","BlakeRobMills",1334,FALSE,"https://twitter.com/BlakeRobMills/status/1488607925388124161"
2022-02-02 15:53:00,"1488903285150994435","My first attempt at #RStats #TidyTuesday using {geomtextpath} and {ggforce} to show the changing popularity of dog breeds https://t.co/p7HpCJakuv",11,215,"list(id = 1488902542532698112, id_str = ""1488902542532698112"", indices = list(list(start = 122, end = 145)), media_url = ""http://pbs.twimg.com/media/FKmk-VDWYAAp2ba.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKmk-VDWYAAp2ba.jpg"", url = ""https://t.co/p7HpCJakuv"", display_url = ""pic.twitter.com/p7HpCJakuv"", expanded_url = ""https://twitter.com/dr_allancameron/status/1488903285150994435/photo/1"", type = ""photo"", sizes = list(list(w = c(1024, 680, 150, 1024), h = c(768, 510, 150, 768), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Allan Cameron","dr_allancameron",162,FALSE,"https://twitter.com/dr_allancameron/status/1488903285150994435"
2022-01-29 12:00:19,"1487395178293956609","#TidyTuesday - Board games 🎲

This week I've been trying to figure out the most popular board games, and their features. I ended up with the following story, plus a few board games on my wish list.

[R code] https://t.co/nuVLkvLylt

#Rstats #DataViz #ggplot2 https://t.co/9l5wT3DXwI",33,203,"list(id = 1487395166843514880, id_str = ""1487395166843514881"", indices = list(list(start = 259, end = 282)), media_url = ""http://pbs.twimg.com/media/FKRKBhBXMAEgW2F.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKRKBhBXMAEgW2F.jpg"", url = ""https://t.co/9l5wT3DXwI"", display_url = ""pic.twitter.com/9l5wT3DXwI"", expanded_url = ""https://twitter.com/TamayoLeiva_J/status/1487395178293956609/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1366, 453, 150, 800), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Javier Tamayo-Leiva","TamayoLeiva_J",305,FALSE,"https://twitter.com/TamayoLeiva_J/status/1487395178293956609"
2022-02-01 05:42:41,"1488387306662813701","#TidyTuesday week 5, data from American Kennel Club courtesy of KKakey. 

#Rstats code: https://t.co/7uu2AnqjoY https://t.co/glwfhLaYRF",17,174,"list(id = 1488386773403291648, id_str = ""1488386773403291651"", indices = list(list(start = 112, end = 135)), media_url = ""http://pbs.twimg.com/media/FKfP4nUX0AMIPLI.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKfP4nUX0AMIPLI.jpg"", url = ""https://t.co/glwfhLaYRF"", display_url = ""pic.twitter.com/glwfhLaYRF"", expanded_url = ""https://twitter.com/leeolney3/status/1488387306662813701/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1384, 459, 150, 811), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Lee Olney","leeolney3",430,FALSE,"https://twitter.com/leeolney3/status/1488387306662813701"
2022-02-01 13:08:31,"1488499506236772352","Looking at the most popular dog breeds for this week's #TidyTuesday and demonstrating the never ending popularity of Labrador retrievers 🐶🐶🐶 

Code: https://t.co/7tf2xT4Kf0

#DataVisualization #DataViz #DataScience #RStats https://t.co/o54Tp7CBDk",19,148,"list(id = 1488498776419586048, id_str = ""1488498776419586049"", indices = list(list(start = 223, end = 246)), media_url = ""http://pbs.twimg.com/media/FKg1wDEX0AEbgzK.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKg1wDEX0AEbgzK.jpg"", url = ""https://t.co/o54Tp7CBDk"", display_url = ""pic.twitter.com/o54Tp7CBDk"", expanded_url = ""https://twitter.com/nrennie35/status/1488499506236772352/photo/1"", type = ""photo"", sizes = list(list(w = c(1001, 680, 150, 1001), h = c(594, 404, 150, 594), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Nicola Rennie","nrennie35",1273,FALSE,"https://twitter.com/nrennie35/status/1488499506236772352"
2022-02-01 22:50:36,"1488645990357901312","Here, we go for this week #TidyTuesday about 🐶breeds. 
I visualized  “data-score” against public popularity of various breeds.
Data from the American Kennel Club courtesy of @kkakey_.
HD graphic and #RStats code: https://t.co/vMgfdO7RI2
#r4ds #tidyverse #dataviz https://t.co/SntwI3h5v7",16,143,"list(id = 1488645209403580416, id_str = ""1488645209403580424"", indices = list(list(start = 263, end = 286)), media_url = ""http://pbs.twimg.com/media/FKi67kcWYAgDxy5.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKi67kcWYAgDxy5.jpg"", url = ""https://t.co/SntwI3h5v7"", display_url = ""pic.twitter.com/SntwI3h5v7"", expanded_url = ""https://twitter.com/issa_madjid/status/1488645990357901312/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Abdoul Madjid","issa_madjid",389,FALSE,"https://twitter.com/issa_madjid/status/1488645990357901312"
2022-02-03 10:00:06,"1489176861913538565","Now we're talking. Rainbow dogs 🌈🐶

#TidyTuesday #RStats #DataVisualization https://t.co/LqgxlYet2D",17,141,"list(id = 1489176367266676736, id_str = ""1489176367266676741"", indices = list(list(start = 76, end = 99)), media_url = ""http://pbs.twimg.com/media/FKqeBBrWQAUWpbJ.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKqeBBrWQAUWpbJ.jpg"", url = ""https://t.co/LqgxlYet2D"", display_url = ""pic.twitter.com/LqgxlYet2D"", expanded_url = ""https://twitter.com/quite_grey/status/1489176861913538565/photo/1"", type = ""photo"", sizes = list(list(w = c(1536, 510, 150, 900), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","not quite my grey","quite_grey",307,FALSE,"https://twitter.com/quite_grey/status/1489176861913538565"
2022-02-01 11:04:40,"1488468337411735557","Popular dog breeds for this week's #TidyTuesday with data from @akcdoglovers. Made with ggplot2, ggimage, ggtext and grid

code: https://t.co/gKHuzDuNDK

 #Rstats #dataviz https://t.co/q7Akzenf4S",17,135,"list(id = 1488468039767105536, id_str = ""1488468039767105536"", indices = list(list(start = 172, end = 195)), media_url = ""http://pbs.twimg.com/media/FKgZy8HXIAAsF7W.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKgZy8HXIAAsF7W.jpg"", url = ""https://t.co/q7Akzenf4S"", display_url = ""pic.twitter.com/q7Akzenf4S"", expanded_url = ""https://twitter.com/geokaramanis/status/1488468337411735557/photo/1"", type = ""photo"", sizes = list(list(w = c(2048, 680, 150, 1200), h = c(1463, 486, 150, 857), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Georgios Karamanis","geokaramanis",4939,FALSE,"https://twitter.com/geokaramanis/status/1488468337411735557"
2022-01-31 14:46:34,"1488161790886305792","#TidyTuesday W4: Board Game Designers - Chinese Checkers Chart

Another week, another challenge. 80% of the work here was figuring out the maths behind plotting this pattern on a polar axis, but it was a very satisfying puzzle!

Code: https://t.co/HFUCnVcOTz

#rstats #dataviz https://t.co/4L2qFjXSy5",10,121,"list(id = 1488160540400697344, id_str = ""1488160540400697345"", indices = list(list(start = 277, end = 300)), media_url = ""http://pbs.twimg.com/media/FKcCIHtWQAEsAov.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKcCIHtWQAEsAov.jpg"", url = ""https://t.co/4L2qFjXSy5"", display_url = ""pic.twitter.com/4L2qFjXSy5"", expanded_url = ""https://twitter.com/FilmicAesthetic/status/1488161790886305792/photo/1"", type = ""photo"", sizes = list(list(w = c(1475, 490, 150, 864), h = c(2048, 680, 150, 1200), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Dan","FilmicAesthetic",1404,FALSE,"https://twitter.com/FilmicAesthetic/status/1488161790886305792"
2022-02-02 07:52:28,"1488782356173529092","When adopting a dog, it might be difficult to know which  breed is best for your lifestyle. I used this week's #TidyTuesday to make a comprehensive guide of dog breeds and their traits 🐾

Code: https://t.co/97lqu71jY9

#DataViz #RStats #ggplot2 https://t.co/ysMJjhnktS",17,120,"list(id = 1488781584589328384, id_str = ""1488781584589328384"", indices = list(list(start = 245, end = 268)), media_url = ""http://pbs.twimg.com/media/FKk29pmXEAADoRB.jpg"", media_url_https = ""https://pbs.twimg.com/media/FKk29pmXEAADoRB.jpg"", url = ""https://t.co/ysMJjhnktS"", display_url = ""pic.twitter.com/ysMJjhnktS"", expanded_url = ""https://twitter.com/irg_bio/status/1488782356173529092/photo/1"", type = ""photo"", sizes = list(list(w = c(1800, 680, 150, 1200), h = c(850, 321, 150, 567), resize = c(""fit"", 
""fit"", ""crop"", ""fit""), type = c(""large"", ""small"", ""thumb"", ""medium""))), ext_alt_text = NA)","Iker Rivas-González","irg_bio",197,FALSE,"https://twitter.com/irg_bio/status/1488782356173529092"
